Abassi 	proprietary 	closed 	embedded 	active 	AVR32, ATmega, Coldfire, Cortex-A9, Cortex-M0, Cortex-M3, Cortex-M4, MSP430, PIC32, TMS320C2000, 80251, 8051 	[1]
AMOS 	Proprietary 	 ? 	commercial 	closed 	680x0, 683xx, x86 via emulation 	[2]
AMX RTOS 	 ? 	 ? 	embedded 	 ? 	680x0, 683xx, ARM, ColdFire, MIPS32, PowerPC 	[3]
ARTOS (Locamation) 	proprietary 	 ? 	embedded 	active 	x86 	[4]
ARTOS (Robotu) 	proprietary 	 ? 	embedded 	active 	ARM9+ 	[5]
Atomthreads 	BSD 	open source 	embedded 	active 	AVR, STM8 	[6]
AVIX 	proprietary 	closed 	embedded 	active 	Atmel AT91SAM3(U/S), Energy Micro EFM32, NXP LPC1300, LPC1700, ST Micro STM32, Texas Instruments LM3S, Toshiba TMPM330, Microchip PIC32MX, Microchip PIC24F, PIC24H, dsPIC30F & dsPIC33F 	[7]
BeRTOS 	modified GNU GPL 	open source 	embedded 	active 	DSP56K, I196, IA32, ARM, AVR 	[8]
BRTOS 	MIT License 	open source 	embedded 	active 	Freescale Coldfire V1, Freescale HCS08, Texas Instruments MSP430 and Atmel ATMEGA328/128 (Port for PIC18 in development 	[9]
CapROS 	GNU GPL 	open source 	embedded 	active 	IA32, ARM9 	[10]
ChibiOS/RT 	Modified GNU GPL or proprietary 	open source 	embedded, small footprint 	active 	x86, ARM7, ARM9, Cortex-M0, Cortex-M3, Cortex-M4, PowerPC e200z, STM8, AVR, MSP430, Coldfire, H8S 	[11] [12]
ChorusOS 	 ? 	 ? 	 ? 	 ? 	SPARC, x86, PowerPC 	[13]
ChronOS 	GNU GPL 	open source 	research, general purpose 	active 	x86, ARM 	[14]
CMX RTOS 	proprietary 	 ? 	embedded 	active 	IA32, ARM, AVR, H8, PIC, 8051 	[15]
cocoOS 	BSD 	open source 	embedded 	active 	AVR, MSP430 	[16]
Concurrent CP/M 	proprietary 	closed (meanwhile: open source) 	general purpose 	defunct 	8080, Z80, 8086 	Digital Research
Concurrent DOS 	proprietary 	closed 	general purpose 	defunct 	8086, 286, 386, 68000, (also 8080/Z80 in dual-processor variants) 	Digital Research
Contiki 	BSD 	open source 	embedded 	active 	MSP430, AVR 	[17]
COS 	proprietary 	closed 	process control 	defunct 	GEC 4000 series 	 ?
CooCox CoOS 	BSD 	open source 	general purpose 	active 	STM32, NXP LPC1000, TI LM3S8962,Nuvoton NU1xx,Holtek HT32 	[18]
Deos 	proprietary 	closed 	safety critical 	active 	x86, PowerPC, PowerQUICC 	[19]
DioneOS 	proprietary 	available for licensee 	embedded 	active 	Texas Instruments MSP430, MSP430x 	[20]
DNIX 	proprietary 	closed 	general purpose 	defunct 	68000 	 ?
GEC DOS 	proprietary 	closed 	process control 	defunct 	GEC 4000 series 	 ?
DrRtos 	free? 	open? 	 ? 	active? 	ARM7 	[21]
DSPnano RTOS 	Open Source and Commercial 	Open Source 	MCU, DSC, DSP SoC 	active 	R8C, M16C, PIC24, dsPIC33 	[22]
DSOS 	 ? 	 ? 	 ? 	defunct 	TI-980A minicomputer 	 ?
eCos 	modified GNU GPL 	open source 	general purpose 	active 	ARM/XScale/Cortex-M, CalmRISC, 68000/Coldfire, fr30, FR-V, H8, IA32, MIPS, MN10300, OpenRISC, PowerPC, SPARC, SuperH, V8xx 	[23]
eCosPro 	modified GNU GPL and eCosPro license 	open source with non-free portions 	general purpose 	active 	ARM/XScale/Cortex-M, CalmRISC, 68000/Coldfire, fr30, FR-V, H8, IA32, MIPS, MN10300, NIOS2, OpenRISC, PowerPC, SPARC, SuperH, V8xx 	[24]
embOS 	proprietary 	closed 	embedded 	active 	8/16/32 bit processors 	[25]
Embox 	BSD License 	open source 	embedded 	active 	ARM, LEON, MicroBlaze, x86 	[26]
ERIKA Enterprise 	GPL+Linking exception 	Open Source 	embedded 	active 	ARM7, ARM Cortex MX, Hitachi H8, Altera Nios2, Microchip dsPIC (including dsPIC30, dsPIC33, and PIC24), Microchip PIC32, ST Microelectronics ST10, Infineon C167, Infineon Tricore, Freescale PPC e200 (MPC 56xx) (including PPC e200 z0, z6, z7), Freescale S12XS, EnSilica eSi-RISC, Atmel AVR5, Lattice Mico32, TI MSP430, Renesas RX200 	[27]
EROS 	GPL 	open source 	experimental
research use 	dormant 	IA32 	[28]
Femto OS 	GPLv3 	open source 	embedded 	active 	AVR 	[29]
FlexOS 	proprietary 	closed 	general purpose 	defunct 	186, 286, 386, V60, V70, 68000 	Digital Research/Novell
FreeOSEK 	GPLv3 	open source 	embedded 	active 	Posix, Windows, ARM7 	[30]
FreeRTOS 	modified GNU GPL 	open source 	embedded 	active 	ARM, AVR, AVR32, Freescale ColdFire, HCS12, IA32, Cortex-M3, MicroBlaze, MSP430, PIC, PIC32, Renesas H8/S, 8052, STM32 	[31]
FunkOS 	modified Sleepycat license 	open source 	embedded 	active 	AVR, MSP430, Cortex-M3 	[32]
Fusion RTOS 	free 	 ? 	semi-general purpose 	active 	ARM, Blackfin, StarCore, DSP 56800E 	
HeartOS 	proprietary 	closed 	safety critical 	active 	x86, PowerPC, PowerQUICC 	[33]
Helium 	free 	 ? 	 ? 	 ? 	Open-Source RTOS for HCS08 & AVR MCUs 	[34]
HP-1000/RTE 	 ? 	 ? 	 ? 	 ? 	 ? 	[35]
Hybridthreads 	 ? 	open source 	FPGA 	active 	Xilinx Virtex-II Pro ML310, Xilinx Virtex-II Pro XUP 	[36]
IBM 4680 OS 	proprietary 	closed 	general purpose 	defunct 	286 	IBM (DR Concurrent DOS 286 derivative)
